ID,DESCRIPTION,HOURS
1,"Independent Contractor Services on May 1, 2020",8.5
2,"Independent Contractor Services on May 4, 2020",8.05
3,"Independent Contractor Services on May 5, 2020",8.05
4,"Independent Contractor Services on May 6, 2020",8.42
5,"Independent Contractor Services on May 7, 2020",8.23
6,"Independent Contractor Services on May 8, 2020",10.15
7,"Independent Contractor Services on May 11, 2020",8.05
8,"Independent Contractor Services on May 12, 2020",8.51
9,"Independent Contractor Services on May 13, 2020",8.48
10,"Independent Contractor Services on May 14, 2020",8.04
11,"Independent Contractor Services on May 15, 2020",9.07
12,"Independent Contractor Services on May 18, 2020",8.03
13,"Independent Contractor Services on May 19, 2020",8.03
14,"Independent Contractor Services on May 20, 2020",8.92
15,"Independent Contractor Services on May 21, 2020",8.53
16,"Independent Contractor Services on May 22, 2020",8.05
17,"Independent Contractor Services on May 25, 2020",8.04
18,"Independent Contractor Services on May 26, 2020",8.04
19,"Independent Contractor Services on May 27, 2020",8.17
